outer_fold,model,parameters_json,inner_oof_problem_mae,inner_fold_mae_std
3,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08741333691115631,0.0013138031043435348
3,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.0891113818749,0.001386939436005081
3,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08363331885376792,0.0009821472010733921
3,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08482514890619175,0.001097881955987266
3,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08176893848588232,0.0008819235295194216
3,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08636947585186991,0.001201405225948565
3,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08075414645409158,0.0007168970879378159
3,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08359434918946813,0.0010130668677066487
3,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.1059728178564937,0.002280929974717753
3,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.09564981249095299,0.0016283238278301472
3,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.09526951030737549,0.0019619371806958866
3,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08779750848966746,0.0013127323855316212
3,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.09396145319293384,0.0015347359067357706
3,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08909867750073557,0.0012823509289410983
3,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.08684399370621415,0.0012578419451262605
3,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08362388433218743,0.000894096264294549
4,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08783042701365404,0.0009334921866895987
4,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08949914421488919,0.000793290558253779
4,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08384823165118797,0.0009645415221753841
4,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08503139913066068,0.0009407185336666649
4,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08203680649493084,0.0007983677823794853
4,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08668065637189096,0.0006282148543081625
4,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.0811101443145108,0.0007166347050362045
4,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.0838402851543589,0.0008891045922830352
4,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.10588626937219187,0.0014677095510462256
4,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.0950913812003849,0.0014259118165788948
4,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.09520159238519732,0.0012029437133570485
4,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08755598507448914,0.001002520892170345
4,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.09371086205865595,0.0017497453569606319
4,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08879297648319422,0.001162657517909251
4,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.08655720917331797,0.0012063840853464
4,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08339906208253203,0.0013631916542130743
